Strike;Last;Net;Bid;Ask;Vol;Int
SPXW1610R1770-E ;0.80;0.0;0.90;1.05;1;285
SPXW1610R1775-E ;1.15;+0.20;0.95;1.10;30458;5834
SPXW1610R1780-E ;0.95;0.0;1.00;1.15;0;83
SPXW1610R1785-E ;0.80;0.0;1.00;1.20;3;44
SPXW1610R1790-E ;0.95;-0.05;1.10;1.25;1;107
SPXW1610R1795-E ;1.05;+0.20;1.15;1.30;100;59
SPXW1610R1800-E ;1.40;+0.25;1.20;1.35;29883;3088
SPXW1610R1805-E ;1.55;0.0;1.25;1.40;0;129
SPXW1610R1810-E ;1.10;0.0;1.35;1.50;0;114
SPXW1610R1815-E ;1.30;+0.18;1.40;1.55;1;4090
SPXW1610R1820-E ;1.20;-0.60;1.50;1.65;60;83
SPXW1610R1825-E ;1.70;+0.60;1.55;1.75;8;1493
SPXW1610R1830-E ;1.75;0.0;1.65;1.80;32;1084
SPXW1610R1835-E ;1.35;-0.18;1.75;1.90;3;235
SPXW1610R1840-E ;2.20;0.0;1.85;2.05;339;1889
SPXW1610R1845-E ;1.60;0.0;1.95;2.15;75;4590
SPXW1610R1850-E ;2.41;+0.66;2.10;2.30;170;1727
SPXW1610R1855-E ;2.50;+0.95;2.20;2.40;81;103
SPXW1610R1860-E ;2.65;0.0;2.35;2.55;681;62
SPXW1610R1865-E ;1.95;-0.80;2.50;2.70;16;144
SPXW1610R1870-E ;2.30;+0.15;2.65;2.90;380;249
SPXW1610R1875-E ;3.10;+0.15;2.85;3.10;153;4480
SPXW1610R1880-E ;3.22;+0.77;3.00;3.30;92;402
SPXW1610R1885-E ;3.50;+0.85;3.20;3.50;667;130
SPXW1610R1890-E ;4.00;+1.20;3.40;3.70;61;723
SPXW1610R1895-E ;3.50;+0.90;3.60;4.00;2;576
SPXW1610R1900-E ;4.12;+1.07;3.90;4.30;68;5572
SPXW1610R1905-E ;3.95;-0.45;4.20;4.50;34;5870
SPXW1610R1910-E ;4.85;+0.35;4.50;4.80;438;209
SPXW1610R1915-E ;5.15;+0.45;4.80;5.20;48;143
SPXW1610R1920-E ;5.80;+1.95;5.10;5.50;452;298
SPXW1610R1925-E ;4.80;+0.64;5.50;5.90;83;1539
SPXW1610R1930-E ;4.75;-0.71;5.90;6.30;78;632
SPXW1610R1935-E ;7.05;+2.40;6.30;6.70;72;1366
SPXW1610R1940-E ;7.25;+2.25;6.80;7.20;463;3906
SPXW1610R1945-E ;5.65;+0.70;7.30;7.70;38;378
SPXW1610R1950-E ;8.25;+2.05;7.90;8.30;243;3270
SPXW1610R1955-E ;9.10;+1.60;8.40;8.90;56;3630
SPXW1610R1960-E ;9.55;+0.90;9.00;9.50;942;708
SPXW1610R1965-E ;10.10;+3.48;9.70;10.20;3440;1529
SPXW1610R1970-E ;10.70;+3.40;10.40;10.90;392;5136
SPXW1610R1975-E ;11.50;+2.64;11.20;11.70;4729;7862
SPXW1610R1980-E ;12.40;+2.80;12.00;12.50;166;4295
SPXW1610R1985-E ;13.30;+3.31;12.90;13.40;940;767
SPXW1610R1990-E ;14.62;+3.62;13.80;14.40;117;1608
SPXW1610R1995-E ;15.40;+3.52;14.90;15.40;727;893
SPXW1610R2000-E ;16.25;+4.10;16.00;16.50;569;3031
SPXW1610R2005-E ;17.41;+5.59;17.10;17.70;56;268
SPXW1610R2010-E ;19.85;+5.35;18.40;19.00;119;513
SPXW1610R2015-E ;21.25;+6.00;19.70;20.30;146;193
SPXW1610R2020-E ;21.84;+6.04;21.20;21.80;123;940
SPXW1610R2025-E ;23.00;+5.70;22.70;23.40;417;3352
SPXW1610R2030-E ;25.35;+5.85;24.30;25.10;138;312
SPXW1610R2035-E ;28.35;+8.40;26.10;26.80;29;144
SPXW1610R2040-E ;28.69;+6.89;27.90;28.60;309;2161
SPXW1610R2045-E ;31.50;+12.90;29.70;30.60;12;128
SPXW1610R2050-E ;32.35;+7.05;31.70;32.80;1117;3834
SPXW1610R2055-E ;34.85;+11.95;33.90;35.10;7;96
SPXW1610R2060-E ;37.30;+10.00;36.30;37.40;159;648
SPXW1610R2065-E ;31.90;+1.40;38.70;40.00;78;181
SPXW1610R2070-E ;42.60;+9.80;41.30;42.60;38;274
SPXW1610R2075-E ;46.70;+10.90;44.10;45.50;93;1347
SPXW1610R2080-E ;48.70;+13.33;47.10;48.50;12;174
SPXW1610R2085-E ;47.40;0.0;50.20;51.80;0;36
SPXW1610R2090-E ;46.40;+4.90;53.60;55.20;2;1004
SPXW1610R2095-E ;46.05;+0.65;57.10;58.70;10;61
SPXW1610R2100-E ;62.95;+14.55;60.80;62.50;13;1176
SPXW1610R2105-E ;43.50;0.0;64.60;66.50;0;23
SPXW1610R2110-E ;60.50;+5.00;68.70;70.60;1;86
SPXW1610R2115-E ;0.0;0.0;72.80;74.80;0;0
SPXW1610R2120-E ;66.65;0.0;73.80;82.50;0;6
SPXW1610R2125-E ;79.40;+20.60;78.40;86.90;1;10
SPXW1610R2130-E ;87.85;+27.00;82.50;91.60;3;97
SPXW1610R2135-E ;85.75;0.0;87.20;95.90;0;5
SPXW1610R2140-E ;83.18;+3.76;92.40;100.50;5;26
SPXW1610R2145-E ;73.16;0.0;97.20;105.30;0;1
SPXW1610R2150-E ;106.96;-1.47;101.70;110.50;1;2
SPXW1610R2155-E ;0.0;0.0;106.50;115.00;0;0
SPXW1610R2160-E ;104.95;0.0;111.40;119.90;0;1
SPXW1610R2165-E ;0.0;0.0;114.70;127.00;0;0
SPXW1610R2170-E ;0.0;0.0;119.70;132.00;0;0
SPXW1610R2175-E ;0.0;0.0;124.60;137.00;0;0
SPXW1610R2180-E ;137.65;0.0;129.60;141.90;0;3
SPXW1610R2185-E ;0.0;0.0;134.60;146.90;0;0
SPXW1610R2190-E ;132.95;0.0;139.60;151.80;0;6
SPXW1610R2195-E ;0.0;0.0;144.50;156.80;0;0
SPXW1610R2200-E ;0.0;0.0;149.50;161.80;0;0
SPXW1610R2205-E ;0.0;0.0;154.30;167.00;0;0
SPXW1610R2210-E ;0.0;0.0;159.50;171.80;0;0
SPXW1610R2215-E ;0.0;0.0;164.40;176.70;0;0
SPXW1610R2220-E ;0.0;0.0;169.40;181.70;0;0
SPXW1610R2225-E ;0.0;0.0;174.40;186.70;0;0
SPXW1610R2230-E ;0.0;0.0;179.40;191.70;0;0
SPXW1610R2240-E ;0.0;0.0;189.40;201.60;0;0
SPXW1610R2250-E ;0.0;0.0;199.30;211.60;0;0
SPXW1610R2260-E ;0.0;0.0;209.30;221.60;0;0
SPXW1610R2270-E ;0.0;0.0;219.30;231.60;0;0
SPXW1610R2275-E ;0.0;0.0;224.30;236.60;0;0
SPXW1610R2300-E ;224.25;0.0;249.30;261.50;0;11
SPXW1610R2325-E ;0.0;0.0;274.20;286.50;0;0
SPXW1610R2350-E ;268.10;0.0;299.20;311.50;0;3
SPXW1610R2400-E ;324.10;0.0;349.20;362.10;0;18
SPXW1610R2450-E ;367.90;0.0;399.00;411.70;0;1
SPXW1610R2500-E ;423.95;0.0;449.10;461.40;0;9
